Fecha,AMD,BABA,DPZ,FB,SAM,MXX
2021-04-27,85.209999,235.919998,401.029999,303.570007,1215.420044,35830.80859
2021-04-26,85.410004,232.699997,400.209991,303.040009,1233.98999,36870.08984
2021-04-23,82.760002,232.080002,397.709991,301.130005,1283.900024,36470.10938
2021-04-22,79.059998,229.350006,398.76001,296.519989,1246,36370.42969
2021-04-21,81.610001,229.440002,394.799988,301.470001,1255.219971,36616.05859
2021-04-20,79.269997,229.880005,398.049988,302.649994,1306.449951,36986.19922
2021-04-19,81.110001,234.779999,397.959991,302.23999,1287.689941,36792.41016
2021-04-16,82.150002,238.690002,394.829987,306.179993,1294.930054,37623.67969
2021-04-15,83.010002,239.089996,392.98999,307.820007,1290.890015,37631.89063
2021-04-14,78.550003,239.229996,390.640015,302.820007,1252.550049,37462.89063
2021-04-13,80.190002,241.889999,394.929993,309.76001,1267.02002,36394.58984
2021-04-12,78.580002,244.009995,390.619995,311.540009,1259.880005,36094.14063
2021-04-09,82.760002,223.309998,390.350006,312.459991,1253.099976,35691.39063
2021-04-08,83.349998,228.240005,383.920013,313.019989,1270.109985,37112.46094
2021-04-07,82.199997,225.419998,382.299988,313.089996,1235.339966,35862.03906
2021-04-06,81.440002,230.570007,380.679993,306.26001,1225.300049,36026.98047
2021-04-05,81.43,225.300003,371.640015,308.910004,1211.079956,35560.76172
2021-04-01,81.089996,224.360001,373.380005,298.660004,1184.680054,35784.42188
2021-03-31,78.5,226.729996,367.790009,294.529999,1206.280029,35832.76953
2021-03-30,76,229.25,368.130005,288,1195.670044,36206.85938
2021-03-29,77.139999,231.860001,372.079987,290.820007,1166.02002,36889.96094
2021-03-26,77.410004,227.259995,371.839996,283.019989,1159.98999,36508.14063
2021-03-25,76.220001,222.720001,367.600006,278.73999,1077.359985,36122.73047
2021-03-24,76.480003,229.589996,366.220001,282.140015,1050.969971,36980.85156
2021-03-23,78.379997,237.669998,374.420013,290.630005,1063.27002,37460.44141
2021-03-22,80.300003,237.119995,369.320007,293.540009,1070.670044,38290.76953
2021-03-19,79.059998,239.789993,363.700012,290.109985,1105.73999,37872.89063
2021-03-18,78.120003,236.429993,363.820007,278.619995,1060,38948.07813
2021-03-17,82.629997,233.339996,363.25,284.01001,1101.339966,39954.01172
2021-03-16,82.75,226.929993,366.01001,279.279999,1103.349976,39185.66016
2021-03-15,82.5,230.279999,362.970001,273.75,1108.890015,38266.19141
2021-03-12,81.050003,231.869995,361.109985,268.399994,1086.01001,36827.35938
2021-03-11,81.230003,240.800003,357.429993,273.880005,1117.76001,37679.23828
2021-03-10,77.519997,234.300003,356.99115,264.899994,1100.949951,37416.73828
2021-03-09,78.529999,238.139999,353.151245,265.73999,1106.829956,37894.05078
2021-03-08,73.959999,226.690002,332.635223,255.309998,1074.969971,37897.23828
2021-03-05,78.519997,233.889999,329.373779,264.279999,1088.319946,37632.89063
2021-03-04,77.75,230.5,329.663025,257.640015,1030.810059,38404.62891
2021-03-03,80.860001,236.270004,331.857269,255.410004,1022.669983,38123.55859
2021-03-02,84.129997,234.419998,342.110321,259,1066.97998,38217.67969
2021-03-01,86.389999,241.690002,344.154907,264.910004,1094.47998,37908.37891
2021-02-26,84.510002,237.759995,345.601135,257.619995,1028.709961,37734.51953
2021-02-25,82.419998,240.179993,338.110809,254.690002,1035.189941,37431.94922
